PLACE,STATE,POP,COLPCT,MEDINC,MHMVAL,MRENT
Aaronsburg CDP (Centre County),Pennsylvania,494,0.163069544,54107,132100,777
Abbeville city,Alabama,2582,0.148755956,42877,85400,563
Abbeville city,Alabama,2582,0.148755956,42877,85400,563
Abbeville city,Alabama,2582,0.148755956,42877,85400,563
Abbeville city,Alabama,2582,0.148755956,42877,85400,563
Abbeville city,Louisiana,12286,0.113065327,36696,86800,669
Abbeville city,Louisiana,12286,0.113065327,36696,86800,669
Abbeville city,Louisiana,12286,0.113065327,36696,86800,669
Abbeville city,Louisiana,12286,0.113065327,36696,86800,669
Abbeville city,Georgia,2792,0.043951262,20893,34000,331
Abbeville city,Georgia,2792,0.043951262,20893,34000,331
Abbeville city,Georgia,2792,0.043951262,20893,34000,331
Abbeville city,Georgia,2792,0.043951262,20893,34000,331
Abbeville city,South Carolina,5079,0.150134048,23493,84600,651
Abbeville city,South Carolina,5079,0.150134048,23493,84600,651
Abbeville city,South Carolina,5079,0.150134048,23493,84600,651
Abbeville city,South Carolina,5079,0.150134048,23493,84600,651
Abbeville town,Mississippi,395,0.159851301,44444,121900,775
Abbotsford city,Wisconsin,2175,0.091420534,46250,105400,520
Abbott city,Texas,328,0.376744186,73750,98800,867
Abbottstown borough,Pennsylvania,911,0.084278768,60724,143500,1085
Abercrombie city,North Dakota,216,0.083832335,62500,108000,850
Aberdeen CDP,Indiana,1463,0.48159204,89766,328100,1319
Aberdeen city,Mississippi,5347,0.185007072,34911,70900,601
Aberdeen city,Mississippi,5347,0.185007072,34911,70900,601
Aberdeen city,Mississippi,5347,0.185007072,34911,70900,601
Aberdeen city,Mississippi,5347,0.185007072,34911,70900,601
Aberdeen city,Mississippi,5347,0.185007072,34911,70900,601
Aberdeen city,South Dakota,28124,0.292206004,49471,149100,669
Aberdeen city,South Dakota,28124,0.292206004,49471,149100,669
Aberdeen city,South Dakota,28124,0.292206004,49471,149100,669
Aberdeen city,South Dakota,28124,0.292206004,49471,149100,669
