"","YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","AGE","EDUC","EDUCD","LABFORCE","INCTOT","edu","uniquID"
"32040","2018","2018 ACS",15330,2018000921303,46,2018000153301,200001,"Households under 1970 definition",1,47,"63","4 years of college","Bachelor's degree","Yes, in the labor force",32700,16,"2018000921303 2018000153301 46 63 200001"
"128887","2018","2018 ACS",57915,2018000140825,89,2018000579151,90005,"Households under 1970 definition",1,90,"34","4 years of college","Bachelor's degree","Yes, in the labor force",93000,16,"2018000140825 2018000579151 89 34 90005"
"192085","2018","2018 ACS",93302,2018000079421,71,2018000933021,372806,"Households under 1970 definition",1,71,"47","4 years of college","Bachelor's degree","Yes, in the labor force",60000,16,"2018000079421 2018000933021 71 47 372806"
"207391","2018","2018 ACS",98945,2018000138556,78,2018000989451,950306,"Households under 1970 definition",1,79,"53","1 year of college","1 or more years of college credit, no degree","Yes, in the labor force",45000,13,"2018000138556 2018000989451 78 53 950306"
"393406","2018","2018 ACS",168012,2018000858519,139,2018001680121,11006,"Households under 1970 definition",2,109,"67","1 year of college","1 or more years of college credit, no degree","Yes, in the labor force",25000,13,"2018000858519 2018001680121 139 67 11006"
"429756","2018","2018 ACS",181497,2018000998454,215,2018001814971,373806,"Households under 1970 definition",5,179,"18","1 year of college","1 or more years of college credit, no degree","Yes, in the labor force",14000,13,"2018000998454 2018001814971 215 18 373806"
"518768","2018","2018 ACS",214509,2018001344157,401,2018002145091,590506,"Households under 1970 definition",1,401,"56","4 years of college","Bachelor's degree","Yes, in the labor force",1300,16,"2018001344157 2018002145091 401 56 590506"
"737856","2018","2018 ACS",315284,2018000635532,48,2018003152841,1010112,"Households under 1970 definition",1,48,"31","2 years of college","Associate's degree, type not specified","Yes, in the labor force",32000,14,"2018000635532 2018003152841 48 31 1010112"
"872948","2018","2018 ACS",375950,2018000351576,50,2018003759501,100213,"Households under 1970 definition",1,50,"56","4 years of college","Bachelor's degree","Yes, in the labor force",150000,16,"2018000351576 2018003759501 50 56 100213"
"917345","2018","2018 ACS",394143,2018000994033,44,2018003941431,300313,"Households under 1970 definition",2,43,"68","5+ years of college","Master's degree","Yes, in the labor force",12400,18,"2018000994033 2018003941431 44 68 300313"
"1223050","2018","2018 ACS",528796,2018000955266,135,2018005287961,130220,"Households under 1970 definition",1,135,"61","5+ years of college","Master's degree","Yes, in the labor force",160000,18,"2018000955266 2018005287961 135 61 130220"
"1240105","2018","2018 ACS",537381,2018000190311,29,2018005373811,280021,"Households under 1970 definition",1,29,"37","2 years of college","Associate's degree, type not specified","Yes, in the labor force",34000,14,"2018000190311 2018005373811 29 37 280021"
"1240106","2018","2018 ACS",537381,2018000190311,29,2018005373811,280021,"Households under 1970 definition",2,25,"37","4 years of college","Bachelor's degree","Yes, in the labor force",75000,16,"2018000190311 2018005373811 29 37 280021"
"1314828","2018","2018 ACS",570600,2018001194262,63,2018005706001,220022,"Households under 1970 definition",1,62,"56","1 year of college","1 or more years of college credit, no degree","Yes, in the labor force",13500,13,"2018001194262 2018005706001 63 56 220022"
"1375694","2018","2018 ACS",598101,2018000955261,68,2018005981011,110424,"Households under 1970 definition",1,68,"33","5+ years of college","Master's degree","Yes, in the labor force",103000,18,"2018000955261 2018005981011 68 33 110424"
"1375695","2018","2018 ACS",598101,2018000955261,68,2018005981011,110424,"Households under 1970 definition",2,81,"33","5+ years of college","Master's degree","Yes, in the labor force",65000,18,"2018000955261 2018005981011 68 33 110424"
"1390262","2018","2018 ACS",604001,2018001311908,51,2018006040011,50724,"Households under 1970 definition",1,51,"28","4 years of college","Bachelor's degree","Yes, in the labor force",69000,16,"2018001311908 2018006040011 51 28 50724"
"1595936","2018","2018 ACS",697665,2018000780599,189,2018006976651,120127,"Households under 1970 definition",1,189,"34","4 years of college","Bachelor's degree","Yes, in the labor force",2e+05,16,"2018000780599 2018006976651 189 34 120127"
"1614035","2018","2018 ACS",705225,2018001261268,19,2018007052251,240027,"Households under 1970 definition",1,20,"44","5+ years of college","Master's degree","Yes, in the labor force",108000,18,"2018001261268 2018007052251 19 44 240027"
"1922646","2018","2018 ACS",846727,2018000158417,45,2018008467271,410136,"Households under 1970 definition",3,52,"25","5+ years of college","Master's degree","Yes, in the labor force",75400,18,"2018000158417 2018008467271 45 25 410136"
"1922993","2018","2018 ACS",846865,2018000161060,78,2018008468651,120736,"Households under 1970 definition",1,78,"58","4 years of college","Bachelor's degree","Yes, in the labor force",9150,16,"2018000161060 2018008468651 78 58 120736"
