"","state","year","spirits","unemp","income","emppop","beertax","baptist","mormon","drinkage","dry","youngdrivers","miles","breath","jail","service","fatal","nfatal","sfatal","fatal1517","nfatal1517","fatal1820","nfatal1820","fatal2124","nfatal2124","afatal","pop","pop1517","pop1820","pop2124","milestot","unempus","emppopus","gsp"
"2","al","1983",1.36000001430511,13.6999998092651,10732.7978515625,52.147029876709,1.78899073600769,30.3335990905762,0.343409985303879,19,22.9941997528076,0.21076799929142,7836.34765625,"no","no","no",930,154,98,71,8,108,26,124,35,341.834014892578,3960008,202000.078125,219125.46875,290000.15625,31032,9.60000038146973,57.9000015258789,0.046558253467083
"9","az","1983",1.89999997615814,9.10000038146973,12693.8076171875,57.5536308288574,0.206422030925751,3.89010000228882,4.83106994628906,19,0,0.203854992985725,6587.49462890625,"no","yes","yes",675,112,60,40,7,83,19,80,17,196.889999389648,2977004.25,138999.890625,157521.4375,218999.890625,19611,9.60000038146973,57.9000015258789,0.0762055367231369
"16","ar","1983",1.20000004768372,10.1000003814697,10433.486328125,53.8147926330566,0.67545872926712,23.0009002685547,0.343409985303879,21,36.4300994873047,0.194168999791145,7175.9169921875,"no","no","no",557,88,47,35,2,65,19,73,22,247.856994628906,2324999,118000.0703125,120698.1015625,159000.171875,16684,9.60000038146973,57.9000015258789,0.040144395083189
"23","ca","1983",2.15000009536743,9.69999980926514,15970.18359375,59.2523345947266,0.103211015462875,1.73469996452332,1.66791999340057,21,0,0.183568999171257,7216.29150390625,"no","no","no",4573,856,487,232,39,513,141,702,206,1251.59997558594,25311062,1126000.5,1309863.125,1886001.75,182652,9.60000038146973,57.9000015258789,0.0530366823077202
"30","co","1983",2.15000009536743,6.59999990463257,15131.880859375,67.3002166748047,0.206422030925751,2.29999995231628,1.83461999893188,21,0.0908219963312149,0.207657992839813,7656.06298828125,"yes","no","yes",646,146,92,44,12,68,20,98,30,217.350006103516,3149007.5,139999.875,167671.96875,243000.109375,24109,9.60000038146973,57.9000015258789,0.029179397970438
"37","ct","1983",2.46000003814697,6,17744.265625,62.2944068908691,0.233563080430031,0.100000001490116,0.251980006694794,19.25,0.0828030034899712,0.189349994063377,6570.04296875,"no","no","no",438,118,85,29,11,61,28,87,31,171.220001220703,3140010,164000.25,160443.484375,215999.875,20630,9.60000038146973,57.9000015258789,0.0736263245344162
"44","de","1983",2.63000011444092,8.10000038146973,14500,59.8684196472168,0.166284397244453,0.699999988079071,0.200000002980232,20,0,0.199483007192612,8062.69970703125,"yes","no","no",110,26,14,8,2,9,3,18,7,33,606000.5,29999.962890625,36059.1640625,48000,4886,9.60000038146973,57.9000015258789,0.0567112825810909
"51","fl","1983",2.46000003814697,8.60000038146973,13924.3115234375,53.7270774841309,1.17041277885437,8.93669986724854,0.400000005960464,19,0,0.177945002913475,7604.25439453125,"yes","no","yes",2686,562,291,132,30,274,92,317,110,963.900024414062,10753980,467000.40625,497250.15625,701000.1875,81776,9.60000038146973,57.9000015258789,0.0770847946405411
"58","ga","1983",1.99000000953674,7.5,12237.3857421875,59.8554191589355,2.61467885971069,24.388500213623,0.440259993076324,19,0.499909996986389,0.206981003284454,8518.58984375,"no","no","no",1296,217,134,97,19,141,45,160,41,389.5,5732991,297000.3125,324141.34375,427000.3125,48837,9.60000038146973,57.9000015258789,0.0790373906493187
"65","id","1983",1.29999995231628,9.80000019073486,11346.330078125,59.8550720214844,0.387041300535202,1.03574001789093,24.9878997802734,19,0,0.228551000356674,8387.6416015625,"no","no","no",263,44,31,15,4,38,12,36,6,88.2799987792969,988001.25,46999.9921875,51676.6640625,69000.015625,8287,9.60000038146973,57.9000015258789,0.0452079996466637
