NOPD_Item,TypeText,InitialTypeText,Zip,PoliceDistrict,Latitude,Longitude
G0402419,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.89867804,-89.99807228
G0550019,FIREWORKS,FIREWORKS,70131,4,29.89904596,-89.99876008
L3774019,FIREWORKS,DISCHARGING FIREARM,70131,4,29.90177006,-90.00523615
G3897819,FIREWORKS,DISCHARGING FIREARM,70131,4,29.90388551,-89.99326288
A0135619,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.90419469,-89.99141229
G3896019,FIREWORKS,DISCHARGING FIREARM,70131,4,29.90419469,-89.99141229
L4026619,FIREWORKS,DISCHARGING FIREARM,70131,4,29.90626776,-89.99301051
G0569919,FIREWORKS,FIREWORKS,70131,4,29.9064715,-89.98849118
L3244419,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.90866812,-89.9860107
G1453319,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.90969882,-89.98920503
G0418019,FIREWORKS,DISCHARGING FIREARM,70131,4,29.91327239,-89.98644596
G0536919,FIREWORKS,FIREWORKS,70131,4,29.91330922,-89.97971708
A0069919,FIREWORKS,FIREWORKS,70131,4,29.91534406,-90.00508293
A0117019,FIREWORKS,DISCHARGING FIREARM,70131,4,29.91547237,-89.98614605
G0532119,FIREWORKS,DISTURBANCE (OTHER),70131,4,29.91562988,-90.00423417
A0071719,FIREWORKS,AGGRAVATED ASSAULT,70131,4,29.91600749,-89.99132284
G0531919,FIREWORKS,FIREWORKS,70131,4,29.91696613,-89.99855619
L3225519,FIREWORKS,DISCHARGING FIREARM,70131,4,29.9171492,-89.99855374
G2942119,FIREWORKS,FIREWORKS,70131,4,29.9172068,-89.99946334
G0424619,FIREWORKS,FIREWORKS,70131,4,29.91753641,-90.00843186
L3233119,FIREWORKS,AGGRAVATED ASSAULT,70115,2,29.91809519,-90.1083235
A0002719,FIREWORKS,AGGRAVATED ASSAULT,70131,4,29.91811752,-90.01152629
L1307619,FIREWORKS,DISCHARGING FIREARM,70114,4,29.91836353,-90.02258447
L3907819,FIREWORKS,DISCHARGING FIREARM,70114,4,29.91840737,-90.0222603
A0011719,FIREWORKS,FIREWORKS,70115,6,29.91892231,-90.08844622
E0456319,FIREWORKS,FIREWORKS,70115,6,29.91921293,-90.08263909
G0533319,FIREWORKS,FIREWORKS,70115,2,29.91942048,-90.10601368
G0529219,FIREWORKS,FIREWORKS,70131,4,29.91956237,-90.00451948
G0535319,FIREWORKS,FIREWORKS,70131,4,29.91956237,-90.00451948
G0540119,FIREWORKS,FIREWORKS,70131,4,29.91958217,-89.97773113
