DATE,ICSA
1/3/04,356000
1/10/04,354000
1/17/04,362000
1/24/04,353000
1/31/04,376000
2/7/04,380000
2/14/04,356000
2/21/04,359000
2/28/04,348000
3/6/04,344000
3/13/04,338000
3/20/04,346000
3/27/04,340000
4/3/04,335000
4/10/04,355000
4/17/04,364000
4/24/04,339000
5/1/04,324000
5/8/04,329000
5/15/04,349000
5/22/04,342000
5/29/04,337000
6/5/04,355000
6/12/04,339000
6/19/04,354000
6/26/04,348000
7/3/04,326000
7/10/04,345000
7/17/04,355000
7/24/04,348000
7/31/04,341000
8/7/04,336000
8/14/04,332000
8/21/04,343000
8/28/04,352000
9/4/04,326000
9/11/04,331000
9/18/04,341000
9/25/04,351000
10/2/04,335000
10/9/04,338000
10/16/04,327000
10/23/04,338000
10/30/04,332000
11/6/04,330000
11/13/04,337000
11/20/04,313000
11/27/04,335000
12/4/04,343000
12/11/04,316000
12/18/04,322000
12/25/04,320000
1/1/05,356000
1/8/05,369000
1/15/05,332000
1/22/05,329000
1/29/05,331000
2/5/05,307000
2/12/05,308000
2/19/05,318000
2/26/05,314000
3/5/05,333000
3/12/05,324000
3/19/05,329000
3/26/05,342000
4/2/05,335000
4/9/05,323000
4/16/05,307000
4/23/05,317000
4/30/05,334000
5/7/05,327000
5/14/05,321000
5/21/05,320000
5/28/05,340000
6/4/05,338000
6/11/05,333000
6/18/05,321000
6/25/05,311000
7/2/05,327000
7/9/05,338000
7/16/05,323000
7/23/05,318000
7/30/05,316000
8/6/05,311000
8/13/05,319000
8/20/05,315000
8/27/05,318000
9/3/05,326000
9/10/05,422000
9/17/05,424000
9/24/05,359000
10/1/05,384000
10/8/05,383000
10/15/05,348000
10/22/05,324000
10/29/05,322000
11/5/05,325000
11/12/05,309000
11/19/05,324000
11/26/05,311000
12/3/05,321000
12/10/05,327000
12/17/05,312000
12/24/05,320000
12/31/05,302000
1/7/06,326000
1/14/06,285000
1/21/06,290000
1/28/06,282000
2/4/06,289000
2/11/06,298000
2/18/06,283000
2/25/06,293000
3/4/06,302000
3/11/06,307000
3/18/06,303000
3/25/06,295000
4/1/06,291000
4/8/06,299000
4/15/06,299000
4/22/06,308000
4/29/06,321000
5/6/06,347000
5/13/06,335000
5/20/06,319000
5/27/06,330000
6/3/06,307000
6/10/06,298000
6/17/06,308000
6/24/06,309000
7/1/06,316000
7/8/06,343000
7/15/06,318000
7/22/06,306000
7/29/06,311000
8/5/06,318000
8/12/06,310000
8/19/06,315000
8/26/06,314000
9/2/06,315000
9/9/06,314000
9/16/06,324000
9/23/06,319000
9/30/06,309000
10/7/06,316000
10/14/06,305000
10/21/06,313000
10/28/06,328000
11/4/06,319000
11/11/06,311000
11/18/06,326000
11/25/06,349000
