"","YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","MET2013","CITY","STRATA","GQ","RENT","HHINCOME","PERNUM","PERWT","AGE","RACE","RACED","HISPAN","HISPAND","CITIZEN","YRIMMIG","YRSUSA1","LANGUAGE","LANGUAGED","EDUC","EDUCD","EMPSTAT","EMPSTATD","FTOTINC","TRANWORK"
"249","2018","2018 ACS",555181,2018000000356,40,2018005551811,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",820,62000,1,40,"22","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","1 year of college","1 or more years of college credit, no degree","Employed","Armed forces--at work",40000,"Auto, truck, or van"
"250","2018","2018 ACS",555181,2018000000356,40,2018005551811,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",820,62000,2,62,"23","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","2 years of college","Associate's degree, type not specified","Employed","At work",40000,"Auto, truck, or van"
"251","2018","2018 ACS",555183,2018000000482,42,2018005551831,"New Orleans-Metairie, LA","New Orleans, LA",240222,"Households under 1970 definition",0,37800,1,42,"34","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",37800,"Auto, truck, or van"
"252","2018","2018 ACS",555193,2018000001332,74,2018005551931,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",240,8600,1,74,"70","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","GED or alternative credential","Not in labor force","Not in Labor Force",8600,"N/A"
"253","2018","2018 ACS",555201,2018000001831,42,2018005552011,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,194000,1,42,"55","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",194000,"Auto, truck, or van"
"254","2018","2018 ACS",555201,2018000001831,42,2018005552011,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,194000,2,41,"57","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",194000,"Auto, truck, or van"
"255","2018","2018 ACS",555201,2018000001831,42,2018005552011,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,194000,3,90,"24","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",194000,"Auto, truck, or van"
"256","2018","2018 ACS",555201,2018000001831,42,2018005552011,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,194000,4,88,"21","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","1 year of college","1 or more years of college credit, no degree","Employed","At work",194000,"Auto, truck, or van"
"257","2018","2018 ACS",555202,2018000001980,59,2018005552021,"New Orleans-Metairie, LA","New Orleans, LA",240022,"Households under 1970 definition",0,20000,1,59,"69","Black/African American/Negro","Black/African American/Negro","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","Grade 12","Some college, but less than 1 year","Not in labor force","Not in Labor Force",20000,"N/A"
"258","2018","2018 ACS",555204,2018000002264,32,2018005552041,"New Orleans-Metairie, LA","New Orleans, LA",240122,"Households under 1970 definition",750,127000,1,31,"28","White","White","Not Hispanic","Not Hispanic","N/A","N/A","N/A or less than one year","English","English","4 years of college","Bachelor's degree","Employed","At work",127000,"Auto, truck, or van"
