state,year,miles,fatalities,seatbelt,speed65,speed70,drinkage,alcohol,income,age,enforce
AK,1983,3358,150,NA,no,no,yes,no,17973,28.23496628,no
AK,1984,3589,134,NA,no,no,yes,no,18093,28.3435421,no
AK,1985,3840,127,NA,no,no,yes,no,18925,28.37281609,no
AK,1986,4008,101,NA,no,no,yes,no,18466,28.39665222,no
AK,1987,3900,76,NA,no,no,yes,no,18021,28.45325089,no
AK,1988,3841,97,NA,no,no,yes,no,18447,28.85141945,no
AK,1989,3887,84,NA,no,no,yes,no,19970,29.14895439,no
AK,1990,3979,98,0.449999988,no,no,yes,no,21073,29.58628464,no
AK,1991,4021,101,0.660000026,no,no,yes,no,21496,29.82771111,secondary
AK,1992,3841,108,0.660000026,yes,no,yes,no,22073,30.21069717,secondary
AK,1993,3918,118,0.689999998,yes,no,yes,no,22711,30.46438599,secondary
AK,1994,4150,85,0.689999998,yes,no,yes,no,23417,30.75657082,secondary
AK,1995,4123,87,0.689999998,yes,no,yes,no,23971,31.1785965,secondary
AK,1996,4115,81,0.689999998,yes,no,yes,no,24310,31.44535446,secondary
AK,1997,4387,77,0.689999998,yes,no,yes,no,24969,31.60147476,secondary
AL,1983,31032,930,NA,no,no,no,no,9505,34.20064545,no
AL,1984,32961,932,0.129999995,no,no,no,no,10417,34.42163086,no
AL,1985,35091,882,0.170000002,no,no,yes,no,11133,34.60256958,no
AL,1986,34003,1081,0.289999992,no,no,yes,no,11736,34.76067352,no
AL,1987,37426,1111,0.209999993,yes,no,yes,no,12394,34.95565796,no
AL,1988,39684,1024,0.289999992,yes,no,yes,no,13288,35.13695526,no
AL,1989,40765,1029,0.379999995,yes,no,yes,no,14266,35.32785797,no
AL,1990,42347,1121,0.439999998,yes,no,yes,no,15213,35.6229248,no
AL,1991,42924,1116,0.469999999,yes,no,yes,no,15895,35.68873596,no
AL,1992,45762,1031,0.579999983,yes,no,yes,no,16817,35.83261871,secondary
AL,1993,47337,1044,0.550000012,yes,no,yes,no,17398,35.94825363,secondary
AL,1994,48956,1083,0.550000012,yes,no,yes,no,18163,36.0920105,secondary
AL,1995,50628,1114,0.519999981,yes,yes,yes,yes,19041,36.2057457,secondary
AL,1996,51433,1146,0.540000021,yes,yes,yes,yes,19838,36.38513184,secondary
AL,1997,53458,1192,0.519999981,yes,yes,yes,yes,20672,36.50072098,secondary
AR,1983,16684,557,NA,no,no,yes,no,9267,35.42213821,no
AR,1984,16621,525,NA,no,no,yes,no,10263,35.56396484,no
AR,1985,17112,534,NA,no,no,yes,no,10919,35.6919136,no
AR,1986,17555,603,0.197999999,no,no,yes,no,11409,35.86726761,no
AR,1987,18306,639,NA,yes,no,yes,no,11842,36.00813293,no
AR,1988,19219,610,0.300999999,yes,no,yes,no,12637,36.14386749,no
AR,1989,20414,647,NA,yes,no,yes,no,13353,36.29208374,no
AR,1990,21011,604,0.340000004,yes,no,yes,no,14025,36.42568207,no
AR,1991,21934,608,0.519999981,yes,no,yes,no,14766,36.46631622,secondary
AR,1992,23081,588,0.550000012,yes,no,yes,no,15807,36.50569916,secondary
AR,1993,23995,583,0.550000012,yes,no,yes,no,16380,36.59257507,secondary
AR,1994,24948,609,0.50999999,yes,no,yes,no,17090,36.62239075,secondary
AR,1995,26653,631,0.50999999,yes,no,yes,no,17934,36.62849045,secondary
AR,1996,27840,615,0.479999989,yes,no,yes,no,18808,36.66523743,secondary
AR,1997,28144,660,0.479999989,yes,no,yes,no,19595,36.81757736,secondary
AZ,1983,19611,675,NA,no,no,no,no,11277,34.11421967,no
AZ,1984,20613,869,NA,no,no,yes,no,12375,34.24707031,no
AZ,1985,21580,893,NA,no,no,yes,no,13280,34.33135986,no
AZ,1986,22665,1007,NA,no,no,yes,no,13980,34.4753418,no
AZ,1987,31729,939,NA,yes,no,yes,no,14631,34.54302597,no
AZ,1988,34247,944,NA,yes,no,yes,no,15246,34.65613174,no
AZ,1989,34816,879,NA,yes,no,yes,no,15919,34.70410919,no
AZ,1990,35456,869,0.550000012,yes,no,yes,no,16608,34.88562393,no
AZ,1991,34929,816,0.649999976,yes,no,yes,no,16971,35.0049057,secondary
AZ,1992,35047,809,0.730000019,yes,no,yes,no,17583,35.19246674,secondary
AZ,1993,39150,801,0.730000019,yes,no,yes,no,18270,35.28326035,secondary
AZ,1994,38774,904,0.600000024,yes,no,yes,no,19127,35.49593353,secondary
AZ,1995,39653,1035,0.600000024,yes,yes,yes,no,20078,35.4948616,secondary
AZ,1996,42123,994,0.560000002,yes,yes,yes,no,21071,35.55243301,secondary
AZ,1997,43491,951,0.629999995,yes,yes,yes,no,21998,35.70043564,secondary
CA,1983,182652,4573,NA,no,no,yes,no,14258,33.73745728,no
CA,1984,196537,5020,NA,no,no,yes,no,15593,33.78442764,no
CA,1985,207600,4960,0.257999986,no,no,yes,no,16523,33.80182648,no
CA,1986,214913,5253,0.454300016,no,no,yes,no,17255,33.81114197,secondary
CA,1987,226301,5504,0.480999976,yes,no,yes,no,18175,33.82216263,secondary
CA,1988,241575,5392,0.50849998,yes,no,yes,no,19263,33.8038063,secondary
