STATE,INCOME,AGE,EDU,SEX,RACE,MARST,CHILDREN,VOTED
California,45100,61,College,Male,White,"Married, spouse present",1,Voted
Iowa,35517,85,No Degree,Male,White,Widowed,0,Did not vote
Idaho,79201,62,High School,Female,White,"Married, spouse present",4,Voted
West Virginia,46754,59,High School,Female,White,Separated,3,Voted
Georgia,73514,26,No Degree,Male,Black/Negro,Never married/single,0,Did not vote
Massachusetts,63683,80,High School,Female,White,Divorced,1,Voted
Vermont,32319,28,High School,Female,White,"Married, spouse present",0,Did not vote
Pennsylvania,497791,62,High School,Female,White,Divorced,2,Did not vote
Oklahoma,110330,34,High School,Female,American Indian/Aleut/Eskimo,"Married, spouse present",2,Did not vote
Illinois,158137,60,High School,Male,White,"Married, spouse present",2,Voted
Louisiana,74868,18,No Degree,Female,Black/Negro,Never married/single,1,Did not vote
Wisconsin,57256,78,College,Female,White,Widowed,2,Voted
New Hampshire,82265,45,College,Female,White,Divorced,0,Voted
Alabama,152496,50,High School,Female,White,"Married, spouse present",2,Voted
California,43310,22,High School,Male,White,Never married/single,2,Did not vote
Vermont,64221,69,College,Female,White,Widowed,1,Did not vote
New Jersey,82276,54,High School,Female,White,"Married, spouse present",1,Voted
North Dakota,10919,80,High School,Female,White,"Married, spouse present",1,Voted
North Dakota,74528,42,High School,Female,White,Divorced,1,Voted
Ohio,78963,22,High School,Female,White,Never married/single,0,Did not vote
Wyoming,7921,51,High School,Female,White,Divorced,0,Voted
Illinois,10817,61,College,Female,White,"Married, spouse present",1,Voted
Florida,26531,65,High School,Female,White,"Married, spouse present",3,Voted
Wyoming,111278,30,High School,Male,White,"Married, spouse present",0,Voted
Delaware,44879,32,College,Female,White,"Married, spouse present",0,Voted
Vermont,42868,25,High School,Female,White,Never married/single,0,Did not vote
Florida,64862,74,High School,Female,White,"Married, spouse present",0,Did not vote
Texas,76437,19,High School,Male,White,Never married/single,0,Did not vote
West Virginia,10539,44,College,Female,White,Divorced,1,Voted
New York,7586,36,College,Female,White,"Married, spouse present",1,Voted
California,67517,27,High School,Female,Black/Negro,Never married/single,1,Voted
New Jersey,121273,63,No Degree,Male,White,"Married, spouse present",2,Voted
New York,83270,32,High School,Male,White,Never married/single,2,Did not vote
Massachusetts,195898,29,College,Male,White,"Married, spouse present",0,Did not vote
California,198740,85,High School,Male,White,Widowed,0,Voted
New Mexico,66813,38,College,Male,White,Never married/single,2,Voted
Nebraska,65072,30,College,Female,White,Never married/single,1,Did not vote
Georgia,485,75,High School,Female,Black/Negro,Widowed,2,Voted
Wyoming,242904,49,College,Female,White,"Married, spouse absent",1,Voted
New York,24386,39,High School,Female,White,Separated,2,Voted
New Jersey,65571,22,High School,Male,White,Never married/single,0,Did not vote
Massachusetts,198055,40,College,Female,White,"Married, spouse present",1,Voted
Tennessee,491263,74,High School,Female,White,"Married, spouse present",1,Did not vote
Colorado,192825,51,College,Female,White,"Married, spouse present",2,Did not vote
Rhode Island,17022,75,High School,Female,White,Divorced,1,Voted
Alaska,101186,19,High School,Female,American Indian/Aleut/Eskimo,Never married/single,1,Voted
California,66510,47,High School,Male,White,Divorced,2,Did not vote
Florida,35615,36,High School,Male,White,Never married/single,0,Did not vote
West Virginia,13890,56,College,Male,White,"Married, spouse present",1,Voted
Oklahoma,24095,34,High School,Male,White,Never married/single,1,Did not vote
Washington,537007,39,College,Female,White,"Married, spouse present",2,Voted
Delaware,129733,26,College,Female,White,"Married, spouse present",0,Did not vote
Pennsylvania,21607,85,High School,Female,White,"Married, spouse present",0,Voted
Tennessee,31642,19,High School,Male,Black/Negro,Never married/single,1,Did not vote
Oregon,799,35,College,Female,White,Never married/single,1,Don't know
California,122823,43,College,Female,White,"Married, spouse present",1,Voted
North Carolina,10916,69,High School,Female,Black/Negro,Widowed,0,Voted
Virginia,220250,48,College,Female,White,"Married, spouse present",0,Voted
Kansas,16751,23,High School,Male,White,Never married/single,4,Did not vote
Maine,52425,18,No Degree,Male,White,Never married/single,0,Did not vote
Hawaii,179408,56,High School,Female,Asian only,"Married, spouse present",2,Don't know
Arkansas,51689,57,College,Female,White,Divorced,1,Did not vote
Pennsylvania,88930,69,College,Male,White,"Married, spouse present",1,Voted
Georgia,793,51,High School,Male,White,Never married/single,2,Did not vote
Illinois,87328,22,College,Male,White,Never married/single,1,Voted
Oklahoma,653020,40,College,Female,White,"Married, spouse present",1,Voted
Georgia,4634,23,High School,Female,Black/Negro,Never married/single,0,Voted
Montana,22655,67,High School,Male,White,Divorced,0,Voted
Nebraska,157628,19,High School,Male,White,Never married/single,2,Did not vote
Alaska,139746,72,High School,Female,White,"Married, spouse present",3,Did not vote
Ohio,81134,42,High School,Female,White,"Married, spouse present",0,Voted
Mississippi,13059,78,High School,Female,Black/Negro,Widowed,0,Did not vote
South Dakota,86962,19,High School,Male,White,Never married/single,0,Don't know
Colorado,81029,63,High School,Female,White,"Married, spouse present",4,Voted
Kentucky,97444,71,High School,Female,White,"Married, spouse present",2,Voted
Illinois,215373,52,College,Male,White,Never married/single,1,Voted
Wyoming,55230,42,College,Female,White,"Married, spouse present",2,Voted
California,143182,57,High School,Male,White,Divorced,1,Did not vote
Georgia,15629,54,High School,Female,Black/Negro,Never married/single,2,Voted
New Jersey,66437,43,College,Male,White,"Married, spouse present",3,Don't know
Michigan,14780,65,High School,Male,White,"Married, spouse present",1,Voted
New Jersey,201040,62,High School,Male,Black/Negro,"Married, spouse present",2,Voted
Tennessee,95340,68,College,Female,White,"Married, spouse present",3,Voted
Kansas,15369,80,High School,Female,White,"Married, spouse present",1,Voted
Virginia,44826,60,College,Male,White-American Indian,Separated,2,Did not vote
Missouri,11750,76,College,Female,White,Divorced,0,Voted
Washington,60802,42,High School,Male,White,"Married, spouse present",2,Did not vote
New Jersey,189920,24,High School,Female,Black/Negro,Never married/single,2,Don't know
Nevada,195666,30,High School,Female,White,Never married/single,2,Voted
Wyoming,107326,59,College,Female,White,"Married, spouse present",0,Voted
Texas,52511,65,High School,Female,White,"Married, spouse present",2,Did not vote
Pennsylvania,37257,38,High School,Male,White,Never married/single,1,Did not vote
Iowa,121304,49,High School,Female,White,"Married, spouse present",2,Did not vote
Colorado,67934,62,College,Female,White-American Indian,"Married, spouse present",0,Voted
New York,127777,58,High School,Female,White,"Married, spouse present",1,Voted
Texas,17132,70,High School,Male,Black/Negro,Divorced,0,Did not vote
Georgia,25306,71,High School,Female,White,Divorced,1,Did not vote
Oklahoma,82584,31,High School,Female,White,"Married, spouse present",0,Voted
Mississippi,46737,27,High School,Female,White,Never married/single,2,Did not vote
West Virginia,11296,22,High School,Male,White,Never married/single,1,Did not vote
Louisiana,30121,80,No Degree,Male,White,Never married/single,0,Did not vote
Indiana,118682,52,High School,Male,White,Divorced,4,Voted
Louisiana,248854,35,High School,Female,White,"Married, spouse present",2,Voted
California,37902,50,High School,Female,White,Divorced,0,Voted
Tennessee,97334,68,College,Female,White,"Married, spouse present",1,Voted
Texas,185586,59,College,Male,White,"Married, spouse present",1,Voted
Texas,33392,68,College,Male,White,Divorced,3,Voted
District of Columbia,40207,47,College,Male,Black/Negro,Never married/single,2,Voted
Pennsylvania,195696,61,College,Female,White,"Married, spouse present",1,Voted
Nevada,95550,30,College,Female,Asian only,"Married, spouse present",2,Did not vote
Idaho,134715,63,High School,Male,White,Divorced,0,Did not vote
Michigan,107558,20,High School,Male,White,Never married/single,0,Did not vote
Alabama,107005,53,High School,Female,White,Never married/single,2,Did not vote
Florida,146267,42,College,Female,White-Black,"Married, spouse present",1,Voted
West Virginia,47047,59,High School,Female,White,Separated,2,Did not vote
Michigan,72113,30,College,Male,White,Never married/single,0,Did not vote
Maine,6656,72,High School,Female,White,Widowed,1,Voted
North Dakota,12360,78,High School,Female,White,"Married, spouse present",1,Voted
Nebraska,66966,66,College,Female,White,"Married, spouse present",0,Voted
Florida,93095,40,College,Female,White,"Married, spouse present",1,Voted
Delaware,100534,48,College,Female,White,Never married/single,1,Did not vote
Idaho,86875,24,College,Female,White,"Married, spouse present",2,Did not vote
Mississippi,22571,41,High School,Male,Black/Negro,Never married/single,0,Voted
District of Columbia,224539,45,College,Female,White,"Married, spouse present",2,Voted
Ohio,55826,50,High School,Female,Asian only,"Married, spouse present",2,Did not vote
Nebraska,21094,68,High School,Female,White,"Married, spouse present",4,Voted
California,121046,32,College,Female,Black/Negro,Never married/single,2,Voted
California,78620,35,College,Female,White,"Married, spouse present",0,Voted
Mississippi,48772,62,High School,Female,White,"Married, spouse present",3,Did not vote
New Mexico,43130,70,High School,Female,White,Widowed,3,Did not vote
Montana,123215,19,High School,Male,White,Never married/single,3,Voted
Washington,140451,55,High School,Male,White,"Married, spouse present",1,Voted
Minnesota,38894,31,High School,Female,American Indian/Aleut/Eskimo,Never married/single,2,Did not vote
Oregon,67008,27,College,Female,White,Never married/single,1,Voted
Pennsylvania,31966,85,High School,Female,White,Widowed,2,Did not vote
Nevada,49278,85,College,Male,White,Widowed,2,Voted
California,133828,39,High School,Male,White,"Married, spouse present",4,Voted
South Carolina,112317,61,College,Female,White,"Married, spouse present",0,Voted
Hawaii,35140,26,High School,Female,Hawaiian/Pacific Islander only,Never married/single,1,Don't know
Illinois,55096,39,College,Male,Asian only,Never married/single,1,Voted
