"","county.y","state","pop","pubtransit","whitepct","collegepct","medinc","medhomevalue","povpct","gini","noinsurance","nonprofitpct","cases","votepct"
"1","Kent","Delaware",174822,1.00560480483493,66.330324558694,2357.20378779393,58775,213900,13.5754308816228,0.4302,6.73761142276731,0.065326316055179,23764,55.5826273554329
"2","New Castle","Delaware",555133,3.88592382550087,64.5220154449474,3590.66620758174,70996,254500,11.4307264168119,0.4586,5.27408599888408,0.0928261424559612,76690,60.4658611956705
"3","Sussex","Delaware",219540,0.487876223608195,82.3367040174911,2646.72233948181,60853,248900,11.7019111579804,0.4496,6.81915673820693,0.0694912994883258,32816,59.5855184392021
"4","Autauga","Alabama",55200,0.106435238251187,76.8786231884058,2768.92859064737,58786,147900,15.3784351319273,0.4602,7.07297750428358,0.0834853258166142,9761,59.6997442088403
"5","Baldwin","Alabama",208107,0.0896959089914679,86.2661995992446,3134.58830252604,55962,189800,10.5660985024082,0.4609,10.0373809941008,0.0671457179879845,36491,58.6190974573663
"6","Barbour","Alabama",25782,0.257671585851487,47.3818943448918,1221.59247234909,34186,92900,28.8633181659083,0.4731,11.1091687789529,0.0440366972477064,3495,51.4548314164946
"7","Bibb","Alabama",22527,0.465643090863328,76.6546810494074,1148.9226869455,45340,96500,13.9876880984952,0.4294,7.90990814930623,0.060624768489937,4146,49.356391314081
"8","Blount","Alabama",57645,0.146585965575941,95.5052476363952,1264.28949958362,48695,124700,14.4003363582215,0.4331,10.7978100019241,0.050922889534339,9842,57.9215428843063
"9","Bullock","Alabama",10352,0,21.9860896445131,1330.23648648649,32152,77500,31.3856090422848,0.5174,10.6333934656244,0.109644670050761,1507,57.4250182882224
"10","Butler","Alabama",20025,0,52.0049937578027,1609.30299539171,39109,88300,23.5449332724413,0.4708,10.1601297253471,0.0507292327203551,3208,56.4848955301119
"11","Calhoun","Alabama",115098,0.322395910662396,74.3349145945194,1796.802931699,45197,113800,18.5915467802574,0.4676,9.4099206593813,0.0628776709512636,21599,53.2401948788681
"12","Chambers","Alabama",33826,0.187552097804946,57.597705906699,1323.20488881344,39872,88400,16.6225882070085,0.4568,10.6661083360751,0.0574191803056946,5479,51.8269947800149
"13","Cherokee","Alabama",25853,0.2274842312067,92.8209492128573,1289.02693728913,41014,123100,15.007254617466,0.4539,8.30890686676828,0.0299847016828149,2942,52.1855399426265
"14","Chilton","Alabama",43930,0,83.3120874117915,1416.10445406639,45182,102200,18.5714285714286,0.4845,14.0842486642665,0.0641714285714286,6459,55.1903374094883
"15","Choctaw","Alabama",13075,0,56.7495219885277,1298.21958456973,34884,75200,22.2446601941748,0.4809,11.4407106991116,0.0175891181988743,771,69.947242206235
"16","Clarke","Alabama",24387,0.146101739938903,53.0405543937344,1255.48310610551,36127,100800,25.4058339940742,0.5185,10.7643787866213,0.0639466457434288,4670,68.5914306769134
"17","Clay","Alabama",13378,0,83.0168934070863,1016.69359181475,41225,102200,18.4432515337423,0.4684,10.2071907373553,0.0420425839047275,2318,62.7332133724785
"18","Cleburne","Alabama",14938,0.0186741363211951,94.1759271656179,1367.16132120632,40188,112000,18.5483320826796,0.4622,12.4051490514905,0.0319829424307036,2413,57.3304347826087
"19","Coffee","Alabama",51288,0,75.8910466385899,2341.60174152154,53155,149100,15.0568294324977,0.4427,9.89895322805107,0.0530264672036824,9045,53.0758811051192
"20","Colbert","Alabama",54495,0.099664763975718,79.4348105330764,1872.76774160153,47558,113500,16.2712303902502,0.4496,8.02398312298753,0.0547780353004101,8620,58.0945274791895
"21","Conecuh","Alabama",12514,0.206398348813209,50.894997602685,1072.55877034358,33177,76600,22.2276068168969,0.4354,14.3235223353918,0.0423946557040082,1830,66.7646760620501
"22","Coosa","Alabama",10855,0.450563204005006,65.7116536158452,1157.95868772783,38301,87900,13.9590508993494,0.4646,7.75919732441472,0.0309002433090024,1737,58.3231538034425
"23","Covington","Alabama",37351,0.047589910938881,84.6670771866884,1494.81806490657,40601,95500,18.318482479637,0.4553,10.9090414831729,0.0608094502986778,6537,54.6620486265903
"24","Crenshaw","Alabama",13865,0.539471318108254,71.6768842408943,1555.55555555556,39812,79500,15.7235927091721,0.504,9.8784417106034,0.0475766215253029,2405,58.3030979626012
"25","Cullman","Alabama",82313,0.104077384596547,95.2364754048571,1374.88638747116,42558,124100,15.8376123234917,0.4548,11.762394715517,0.0434808956761507,14888,59.4170157355548
"26","Dale","Alabama",49255,0.0348466746316209,72.8636686630799,1704.51141333653,45960,110100,18.3850879759268,0.45,11.2162220402534,0.0473231622746186,8705,49.6675408620096
"27","Dallas","Alabama",40029,0,28.1221114691848,1511.65413533835,31602,82600,31.0884906330913,0.4885,11.9550177362953,0.0508569429870584,4747,62.1243677476941
"28","DeKalb","Alabama",71200,0.0530710444381545,85.6348314606741,1270.9917286323,39233,102700,22.075055187638,0.4748,14.4073932115327,0.0310786744421553,12314,48.0752047654505
"29","Elmore","Alabama",81212,0.125067000178667,74.8953356646801,2450.54610018114,59347,161100,12.3391103634443,0.4359,8.13703655181449,0.0613409837035284,14636,59.168214949264
"30","Escambia","Alabama",37328,0,61.8704457779683,1265.93491238205,35000,98200,24.0467672977925,0.4823,14.864043089219,0.0389098670169102,6632,51.1896551724138
"31","Etowah","Alabama",102939,0.208136692562744,80.348555940897,1773.31759149941,44023,109900,17.2589032461393,0.4483,10.4272316096568,0.0466636769183563,19523,54.7546430608247
"32","Fayette","Alabama",16585,0,84.9864335242689,1293.84654775113,37458,83800,20.0479970463356,0.4635,8.64815379920659,0.0647335423197492,2829,63.34177992782
"33","Franklin","Alabama",31542,0.203586250097878,83.9103417665335,1287.23813184701,40459,87800,20.2351505027466,0.4224,12.3184009706568,0.0291851505953771,5859,50.7246376811594
"34","Geneva","Alabama",26491,0.0302785627775535,86.3349816918954,1109.25906011399,38142,92300,23.9981663292203,0.4413,13.7032366540563,0.0482731163531402,4485,56.9808577659317
"35","Greene","Alabama",8426,0,17.1492997863755,1009.77198697068,21804,66400,38.650527325024,0.5041,11.4203798829292,0.0453720508166969,1225,74.3449116392444
"36","Hale","Alabama",14887,0.120240480961924,39.6184590582387,1410.98202760401,30571,92700,26.0035499726925,0.5071,8.76510342002867,0.0725949242573283,2938,70.4892162019989
"37","Henry","Alabama",17124,0,71.1224013081056,1797.48500041095,48610,115100,13.536076326774,0.435,11.3667439510136,0.0563482818870122,3053,59.629164512078
"38","Houston","Alabama",104352,0.0938064840872172,69.368100275989,2102.70858322408,45496,130500,18.3111136929139,0.4808,10.2985218819438,0.07078187442144,17003,53.32141159993
"39","Jackson","Alabama",52094,0.0402982067298005,91.0124006603448,1418.40161182001,39816,105300,20.2102894389695,0.4616,9.61952202818212,0.0449254544553965,9511,51.2617564431416
"40","Jefferson","Alabama",659892,0.905637543281675,51.9162226546162,3241.62306231782,51979,154400,17.0047771539818,0.4996,9.36615273369039,0.0899552951446295,112597,59.8525482356552
"41","Lamar","Alabama",13933,0.681431005110733,87.4685997272662,1248.35742444152,36756,77200,21.2119007783516,0.4623,8.7528147018232,0.0747470962907456,2023,64.0964298859036
"42","Lauderdale","Alabama",92585,0.0328631376712675,87.0130150672355,2394.0153557521,46265,136400,15.1778297132351,0.4672,9.01973612474103,0.0551706952404685,13737,53.3667283258847
"43","Lawrence","Alabama",33171,0.145301905069422,78.2068674444545,1170.33554178243,44515,107200,16.7523343167371,0.4389,8.1591737545565,0.0404201145767027,4154,57.1687420486526
"44","Lee","Alabama",159287,0.697780669814064,70.304544626994,3408.53581505032,48056,165000,21.399877398234,0.5081,7.90684119160152,0.0607352376775043,22863,47.3206219770556
"45","Limestone","Alabama",93052,0.180767370216666,80.7537720844259,2545.64967182008,56460,152900,13.7450331860863,0.4509,9.49315813421821,0.061952266700341,14820,56.2451144611949
"46","Lowndes","Alabama",10236,0.357142857142857,24.8729972645565,1411.56462585034,30833,66300,27.9235567878008,0.4999,9.17250221915376,0.051489730980619,1711,84.54338477106
"47","Macon","Alabama",19054,0.517917133258679,15.8759315629264,2068.39719818706,32074,79500,25.7790028763183,0.5145,7.92436796260888,0.0886266977637536,2238,58.4286901489484
"48","Madison","Alabama",357560,0.17539038977591,68.194149233695,4169.65769017782,63417,180600,13.1980978198442,0.4673,8.82619996141056,0.074563664695217,50828,58.6959567474359
"49","Marengo","Alabama",19538,0,45.3219367386631,1541.07816312948,32809,90000,21.8245103641748,0.5386,9.46267729578631,0.0775559957336584,3280,72.9528865295289
"50","Marion","Alabama",29965,0.0511378164152391,93.0619055564826,1314.03952421092,35392,86500,17.4591860978176,0.4596,10.4956268221574,0.0510016694490818,4861,54.9029557275149
"51","Marshall","Alabama",95145,0.511037899815819,92.3716432813075,1922.09791967821,42490,122500,21.6884929726043,0.4805,12.9220751675575,0.0411313690796728,17996,49.3992250772825
"52","Mobile","Alabama",414659,0.466018966158423,58.761054263865,2293.9585666495,46166,126600,19.2803875405229,0.4765,11.5343235884453,0.0741093618169191,71276,54.607962772112
"53","Monroe","Alabama",21512,0.661521499448732,54.9181851989587,1408.24071564109,30141,103000,30.9102044662207,0.5477,12.9658348606607,0.0398629710370601,3235,61.9033269045323
"54","Montgomery","Alabama",226941,0.547516621040282,36.5125737526494,3207.83513949428,47990,127500,20.6941897555138,0.4929,10.4799617976718,0.0777045497470154,33457,55.3338104252274
"55","Morgan","Alabama",119122,0.390263131960185,80.5611054213327,2169.80099925846,49751,131000,15.3019836220957,0.4511,9.99480191902924,0.0594413060780774,20120,55.2050404412566
"56","Perry","Alabama",9486,0,29.9177735610373,1570.07738607051,23561,65900,41.7503752453527,0.479,12.7157714163182,0.0791397849462366,1368,71.1608467035189
"57","Pickens","Alabama",20298,0.0855188141391106,55.975958222485,1345.00514933059,37458,97500,23.4863747216626,0.4997,8.49711288870053,0.0693665919282511,3094,58.5542464408444
"58","Pike","Alabama",33403,0.13811150686923,56.7613687393348,2355.38477515838,34678,117400,26.5942581300813,0.5343,9.54115734328898,0.0787625062087561,4655,49.0172721858249
"59","Randolph","Alabama",22574,0.129168623767027,77.2703109772304,1493.20116914475,41449,88700,17.7230100122321,0.4733,10.47303350654,0.07185906351414,3162,57.6840317100793
"60","Russell","Alabama",58213,0.234529295589203,50.2568154879494,1652.88831835687,40978,118600,20.1215241297191,0.454,13.3466664306826,0.0590658174097665,6145,43.908334283434
"61","St. Clair","Alabama",87306,0.21779632107901,87.3067143151673,1646.0179907081,54887,148200,13.2038106844467,0.4068,8.78053922372397,0.0446233378771122,15613,57.0511677660902
"62","Shelby","Alabama",211261,0.0287403121197896,80.2788967201708,4213.02171215016,75761,204500,8.44354458626295,0.4344,6.66911533214398,0.0800007566872233,36673,63.0276999688764
"63","Sumter","Alabama",12985,0.420271940667491,24.6515209857528,2182.48918299822,23132,74600,31.3336638572137,0.5469,15.3977891950802,0.0774898977893986,1253,61.2730574405046
"64","Talladega","Alabama",80565,0.352716244725738,64.1966114317632,1428.49506432415,41012,101800,19.9484482669292,0.4584,9.26794690037376,0.0503828582459301,13227,52.844962589177
"65","Tallapoosa","Alabama",40636,0.0939534259445675,69.5220986317551,1834.72115317333,43361,107800,20.2879385198862,0.4617,8.05285464971329,0.0588742292647351,6794,60.7759965067681
"66","Tuscaloosa","Alabama",206213,0.306814978642208,64.436771687527,3031.57878231964,52221,166000,17.4094842789157,0.463,7.40865588955167,0.0808025682182986,34333,50.7246821273699
"67","Walker","Alabama",64493,0.206526228831062,90.7803947715256,1157.11299862143,41748,93100,19.7343543202874,0.4587,10.773887947801,0.0628162059335411,10749,58.7794176306342
"68","Washington","Alabama",16643,0,66.1118788679925,1112.56430377539,40794,85200,21.0352826272738,0.4684,9.55205811138014,0.0453232213795594,2472,65.9428129829985
"69","Wilcox","Alabama",10809,0.314245810055866,26.8572485891387,1250.69405885619,27237,82200,31.061473844979,0.5108,11.6111269343967,0.0617626648160999,1637,74.9112281131382
"70","Winston","Alabama",23875,0.382032877981014,96.3392670157068,1353.58472998138,38504,87800,16.2363350206304,0.4517,12.0045877405378,0.0468888888888889,4326,54.6152624053381
"71","Alachua","Florida",263148,3.87386274751966,69.4255704014471,4252.39072968272,49078,173900,21.7917148602956,0.5138,9.04352898734274,0.102603876325973,38582,59.5848510969608
"72","Baker","Florida",27785,0,82.8972467158539,1335.54852886007,61769,120900,14.6290824882217,0.4414,12.0529327610873,0.0657870284333767,5926,59.8994879575194
"73","Bay","Florida",182482,1.04641575322534,81.2244495347486,2282.16644236487,51829,172600,14.6593599590943,0.4509,14.0145311699787,0.0502330398757121,31272,61.1234588610249
"74","Bradford","Florida",26979,0.646412411118293,77.5973905630305,1055.00821018062,46197,97200,20.3370208386931,0.4403,12.1429180523578,0.0540540540540541,5281,56.2985713620922
"75","Brevard","Florida",576808,0.585321555353752,82.6561004701738,2930.9989315238,54359,177400,12.719660575191,0.455,10.6520845900321,0.0688662668628994,79247,66.9689380996049
"76","Broward","Florida",1909151,2.64812559994331,61.1541989083106,3193.70450685205,57333,243100,13.4875152201853,0.4861,14.3855125507575,0.047836019665849,349793,55.4506093927667
"77","Calhoun","Florida",14444,0,80.296316809748,989.897027394599,38609,81300,12.2245625405055,0.4523,18.1239422999436,0.0585538653886226,2969,53.5440697367263
"78","Charlotte","Florida",176954,0.247791787472187,90.1918012590843,2318.00027544415,49225,176500,11.1088671286706,0.4542,11.2023653088042,0.0525831622176591,22505,62.2615302120952
"79","Citrus","Florida",143087,0.278251503455704,92.710029562434,1763.73795591535,41424,123800,16.692068827987,0.4611,10.2901419843753,0.055187782657141,20018,65.4813743694234
"80","Clay","Florida",207291,0.115852481173972,80.047373016677,2406.84407950251,62653,174400,10.6328781000994,0.4191,10.2158111505689,0.0722407811897726,33208,67.4314337641613
"81","Collier","Florida",363922,2.19244095742562,88.1073416831079,3615.44901896545,65675,340100,12.2944587807653,0.5223,16.3029095961703,0.0549468329525671,55729,57.0144281164665
"82","Columbia","Florida",69105,0.0746591221659004,77.0508646262933,1556.86618981888,44491,117800,17.3601349451785,0.4695,12.1690079562407,0.0554977854804545,14702,53.2064351113912
"83","Desoto","Florida",36399,3.9423516852219,83.6946069946977,1144.37842426113,35057,84400,28.4514466100959,0.4526,18.0436600628659,0.0304305357277031,6774,36.9795583509947
"84","Dixie","Florida",16437,0.0436395374209033,86.6338139563181,936.135812449475,38237,74500,23.0607397353241,0.4751,17.2121782377848,0.0302013422818792,2877,53.8024802031974
"85","Duval","Florida",924229,1.83322587095078,60.2814886786716,2915.18942846191,53473,166900,15.4734950603902,0.4728,11.7469097115141,0.0783013496008367,161997,60.5772757690897
"86","Escambia","Florida",311522,0.636411795867915,68.126809663523,2644.67722990627,49286,133600,13.9058914194717,0.4383,9.99457018458,0.109479909291675,52736,61.9115682444806
"87","Flagler","Florida",107139,0.384528952033759,82.6319080820243,2442.54002553777,53872,200000,11.8626479883024,0.424,12.5183845916044,0.0781811027494958,14072,65.0464350757327
"88","Franklin","Florida",11736,0.515337423312883,80.7430129516019,1714.25384786973,42855,139500,20.6518518518519,0.5018,17.6395061728395,0.0514670514670515,2202,61.2712641336457
"89","Gadsden","Florida",46017,0.27125331360582,41.5063998087663,1668.94920318725,40922,99000,24.5675713683026,0.4394,14.9468010965014,0.039790064689369,8498,61.5429573348919
"90","Gulf","Florida",16055,0.03584229390681,77.9943942696979,1771.37225917714,44291,150300,13.9255350337145,0.4149,11.2350480663389,0.063494870887867,2947,54.3361645060349
"91","Hamilton","Florida",14269,0.195258019525802,60.6139182843927,930.622717852561,34583,71100,29.5167015563848,0.4713,14.0347683626104,0.0333515582285402,2671,47.2645429362881
"92","Hardee","Florida",27228,3.28418912048805,81.3978257675922,1040.23552502453,37594,81800,26.693195697569,0.4817,11.9861939127706,0.0513435221256618,5939,37.896051974013
"93","Hendry","Florida",40127,7.63201069453728,80.1206170408952,822.226616571089,40728,82000,26.8350193960599,0.4736,25.6896770107663,0.0480723465016659,7855,37.8911842912661
"94","Hernando","Florida",182696,0.327334757418819,89.399330034593,1750.10985791709,46030,130300,14.2802409839251,0.428,12.4732337009146,0.047971371193018,28021,63.0366407699132
"95","Highlands","Florida",102101,1.06870229007634,79.7475049215972,1696.41369943752,37314,93800,19.2109316770186,0.4803,12.3580262806104,0.0847132009880157,15554,54.1123797792202
"96","Hillsborough","Florida",1378883,1.52193280162905,70.3828388630508,3265.59858424935,56137,198000,15.3137423978781,0.4799,12.837850190832,0.0634800407570716,235699,56.2172839506173
"97","Holmes","Florida",19430,0.138248847926267,88.9089037570767,1026.95398620297,38608,93200,25.5860377573718,0.4474,18.8762769580023,0.0549718288411756,3751,54.479140005119
"98","Indian River","Florida",150984,0.330575558851384,86.1991999152228,2834.72124938387,52336,185800,12.1559755836368,0.5283,11.9339282374629,0.0601956754667931,21802,63.7039691070504
"99","Jackson","Florida",48472,0.0368754225308832,68.9697144743357,1343.51145038168,39002,98800,20.6406134058867,0.4463,11.2503058478101,0.04976245584115,9909,53.3507441872258
"100","Jefferson","Florida",14105,0,62.5593761077632,2203.48304307974,48173,117900,14.118246687054,0.4545,6.23356797557459,0.0699447303220888,2418,64.8705982180738
"101","Lafayette","Florida",8744,0.257510729613734,79.0942360475755,1576.63520989261,39543,105900,20.1114206128134,0.475,17.3098278734037,0.0492671009771987,2165,50.0442608439068
"102","Lake","Florida",335362,0.330283217859314,83.0007573905213,2272.50100166337,51884,167200,12.4749128551812,0.4272,11.3406254424519,0.0759089034234871,52933,63.1825140014752
"103","Lee","Florida",718679,0.743229900789192,84.7563376695298,2779.89219862376,54691,207700,13.9661855995981,0.4805,14.0382968404616,0.0699484463701831,122583,55.4480673353774
"104","Leon","Florida",288102,1.77288812585403,61.732303142637,4571.22524716081,51201,195000,20.3602158537072,0.4894,8.14706078601455,0.0808913518790996,49560,64.9892348176754
"105","Levy","Florida",39961,0.104799832320268,87.6054152798979,1262.55527750163,37634,99400,20.7122774133083,0.4544,15.1465510723557,0.0366457135214658,6850,60.5847624402586
"106","Madison","Florida",18474,0.497429945282706,57.6540002165205,1378.43866171004,35509,87400,28.1563494005383,0.4998,12.9095116307393,0.0823472199708219,3531,56.8706118355065
"107","Manatee","Florida",373853,0.737906886266373,85.5189071640458,2934.31345373647,56036,218900,12.4557942956716,0.4693,12.5611666347634,0.0721071087025821,63538,58.9892344103318
"108","Marion","Florida",348371,0.460102318782805,81.8635879565176,1935.35933784243,43361,127100,16.6461538461538,0.4481,12.179760982464,0.0497130063097904,55600,61.7131310847664
"109","Martin","Florida",157581,0.218550437100874,87.8240397002177,3304.01450828456,57959,255000,10.489741250461,0.5273,11.2988534767944,0.072341333983958,19661,65.313580096533
"110","Miami-Dade","Florida",2715516,4.99395372962704,75.1899823090713,2881.0974024218,48982,268200,18.0356366147458,0.5249,17.9694353987301,0.0506184980868817,661638,45.3588363530015
"111","Monroe","Florida",76325,1.45584667042474,88.6629544710121,3330.53691275168,67023,468200,11.828272978641,0.506,17.6651822352577,0.064691027926322,10264,65.5555041128447
"112","Nassau","Florida",80578,0.152565880721221,90.6711509344982,2822.98031228785,66297,218100,10.2270308175864,0.4544,10.780851357975,0.0864787649030273,14801,72.3508957123785
"113","Okaloosa","Florida",200737,0.337259269376648,78.440945117243,3062.47863682974,62048,207600,11.5021824653909,0.4303,12.1028511345593,0.0461408341238728,33768,64.5765435814034
"114","Okeechobee","Florida",40572,0.136770840456815,86.6015971606034,1137.39216518173,40367,89800,22.7096532734515,0.4429,17.7949658453606,0.047751664176063,7321,43.0517453410273
"115","Orange","Florida",1321194,2.5033685009441,63.8872111135836,3381.48528622987,54335,216000,16.083206375977,0.4868,14.3141154599349,0.0634840542051274,223297,53.3409170800297
