county,pop,whitepct,blackpct,pubtransit,livealone,collegepct,medinc,hu,medhomevalue,tourismemp,vacant,rental,pubother,subway,over70pct,over18,army,male,commute30,commute60,healthworker,fbornpct,povpct,gini,govpct,noinsurance,outsidecounty,nonprofitpct,STATE,LandSQMI,popdens,hudens,county2
10001,174822,0.663303246,0.253354841,0.010056048,0.061414517,0.235720379,58775,70576,213900,0.109992049,0.085453979,0.309721899,0.009692425,0.000363623,0.108138564,134211,0.017717956,0.482038874,0.335198883,0.09762175,0.096273018,0.027879786,0.135754309,0.4302,0.01168705,0.067376114,0.358353474,0.065326316,Delaware,586.18,298.2394486,120.3998772,10001
10003,555133,0.645220154,0.24968431,0.038859238,0.067180104,0.359066621,70996,222146,254500,0.086779241,0.082337742,0.319800839,0.038094673,0.000764566,0.096618288,433949,0.001288074,0.484334385,0.344427121,0.076858177,0.090896823,0.057814974,0.114307264,0.4586,0.005113243,0.05274086,0.030532908,0.092826142,Delaware,426.293,1302.23344,521.1110668,10003
10005,219540,0.82336704,0.122947982,0.004878762,0.052794718,0.264672234,60853,135529,248900,0.098530603,0.340620827,0.204476025,0.004001212,0.00087755,0.169750387,177909,0.000783557,0.484781817,0.364925465,0.072399101,0.099094573,0.040703289,0.117019112,0.4496,0.007905827,0.068191567,0.14423281,0.069491299,Delaware,936.08,234.5312366,144.7835655,10005
1001,55200,0.768786232,0.191394928,0.001064352,0.030831163,0.276892859,58786,23315,147900,0.081246891,0.094359854,0.251053753,0.001064352,0,0.104692029,41831,0.012612987,0.486847826,0.391613691,0.056666526,0.06993036,0.009692029,0.153784351,0.4602,0.020021555,0.070729775,0.784944394,0.083485326,Alabama,594.437,92.86097602,39.22198652,1001
1003,208107,0.862661996,0.094970376,0.000896959,0.042863321,0.31345883,55962,111945,189800,0.100836376,0.297672964,0.263806568,0.000896959,0,0.132258886,162430,0.001836482,0.486230641,0.420472423,0.078554531,0.08833892,0.018504904,0.105660985,0.4609,0.009788068,0.10037381,0.319000403,0.067145718,Alabama,1589.786,130.902524,70.41513763,1003
1005,25782,0.473818943,0.475758281,0.002576716,0.018070978,0.122159247,34186,11937,92900,0.059174312,0.230459915,0.386022208,0.002576716,0,0.120975875,20346,0,0.531262121,0.303904118,0.080218346,0.062958716,0.014195951,0.288633182,0.4731,0.029472477,0.111091688,0.326908029,0.044036697,Alabama,884.875,29.13631869,13.49004097,1005
1007,22527,0.76654681,0.222754916,0.004656431,0.017105263,0.114892269,45340,9161,96500,0.043956044,0.25335662,0.249269006,0.004656431,0,0.105695388,17868,0,0.539441559,0.516670974,0.088524166,0.098654155,0.00870067,0.139876881,0.4294,0.039881467,0.079099081,0.786475138,0.060624768,Alabama,622.581,36.18324363,14.7145512,1007
1009,57645,0.955052476,0.014953595,0.00146586,0.019708738,0.12642895,48695,24222,124700,0.046238171,0.149533482,0.213737864,0.00146586,0,0.119750195,44177,0.001110748,0.493260474,0.605050554,0.179526873,0.107467441,0.028397953,0.144003364,0.4331,0.012086574,0.1079781,0.831881419,0.05092289,Alabama,644.775,89.40328021,37.566593,1009
1011,10352,0.219860896,0.76246136,0,0.016348019,0.133023649,32152,4526,77500,0.081979695,0.202607159,0.244666112,0,0,0.100560278,8202,0,0.547044049,0.442588727,0.128131524,0.055837563,0,0.31385609,0.5174,0.055329949,0.106333935,0.682845532,0.10964467,Alabama,622.805,16.62157497,7.267122133,1011
1013,20025,0.520049938,0.452184769,0,0.034734645,0.1609303,39109,10026,88300,0.104755866,0.330939557,0.300536673,0,0,0.135780275,15459,0.000751409,0.467815231,0.335033346,0.066954361,0.094736842,0.006791511,0.235449333,0.4708,0.025618263,0.101601297,0.389234124,0.050729233,Alabama,776.827,25.77794026,12.90634852,1013
1015,115098,0.743349146,0.205702966,0.003223959,0.047365265,0.179680293,45197,53682,113800,0.085034367,0.161115458,0.305265028,0.003223959,0,0.11050583,89902,0.003149759,0.480590453,0.330357924,0.073794522,0.089062857,0.013571044,0.185915468,0.4676,0.013767469,0.094099207,0.368883202,0.062877671,Alabama,605.865,189.9730138,88.60389691,1015
1017,33826,0.575977059,0.39375037,0.001875521,0.043134063,0.132320489,39872,16981,88400,0.062559178,0.204051587,0.322358686,0.001875521,0,0.127712411,26820,0.000433902,0.480606634,0.323313057,0.055807045,0.075071013,0.011706971,0.166225882,0.4568,0.023129988,0.106661083,0.370244341,0.05741918,Alabama,596.533,56.70432315,28.46615359,1017
1019,25853,0.928209492,0.049007852,0.002274842,0.026023006,0.128902694,41014,16531,123100,0.046812851,0.358417519,0.210446917,0.002274842,0,0.14261401,20567,0,0.495880555,0.490633551,0.087665755,0.130137685,0.002901017,0.150072546,0.4539,0.028046915,0.083089069,0.350238786,0.029984702,Alabama,553.7,46.69134911,29.85551743,1019
1021,43930,0.833120874,0.094422946,0,0.038923049,0.141610445,45182,19586,102200,0.046457143,0.144746247,0.251507373,0,0,0.111063055,33283,0,0.493330298,0.523363929,0.177017523,0.068342857,0.036967903,0.185714286,0.4845,0.019371429,0.140842487,0.737291564,0.064171429,Alabama,692.854,63.40441132,28.26858184,1021
1023,13075,0.56749522,0.427533461,0,0.023551402,0.129821958,34884,7344,75200,0.033302064,0.271514161,0.20317757,0,0,0.153575526,10425,0,0.478240918,0.471865745,0.159674235,0.093574109,0.001912046,0.222446602,0.4809,0.04315197,0.114407107,0.17559444,0.017589118,Alabama,913.499,14.31309722,8.039417668,1023
